Non-Urban Exclusion,NFS Region Exclusion,Mainland Exclusion ,Woodland,FIA Code,Common Name,Genus,Species,VARIETY,SUBSPECIES,PLANTS Code,Past NRS Tally,Past PNW Tally,Past RMRS Tally,Past SRS Tally,Caribbean,Pacific,Urban,Historic  P2
.,.,.,.,7851,Morinda pedunculata,Morinda,pedunculata,.,.,MOPE2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7853,noni kuahiwi,Morinda,trimera,.,.,MOTR,U,"P, U",U,U,.,P,.,.
.,.,.,.,7855,horseradishtree,Moringa,oleifera,.,.,MOOL,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,7857,ratapple,Morisonia,americana,.,.,MOAM,U,U,U,"C, U",C,.,.,.
.,.,.,.,681,white mulberry,Morus,alba,.,.,MOAL,"R, U","PNWS, P, U","R, U","R, C, U",C,P,.,P2
.,.,.,.,683,Texas mulberry,Morus,microphylla,.,.,MOMI,"R, U",U,U,"R, U",.,.,.,P2
.,.,.,.,684,black mulberry,Morus,nigra,.,.,MONI,"R, U","PNWS, U","R, U","R, C, U",C,.,.,P2
.,.,.,.,682,red mulberry,Morus,rubra,.,.,MORU2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,7862,murta,Mouriri,domingensis,.,.,MODO2,U,U,U,"C, U",C,.,.,.
.,.,.,.,7863,mameyuelo,Mouriri,helleri,.,.,MOHE,U,U,U,"C, U",C,.,.,.
.,.,.,.,7865,falseohe,Munroidendron,racemosum,.,.,MURA3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7867,strawberrytree,Muntingia,calabura,.,.,MUCA4,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,7869,Murraya exotica,Murraya,exotica,.,.,MUEX2,U,U,U,"C, U",C,.,.,.
.,.,.,.,7870,Murraya koenigii,Murraya,koenigii,.,.,MUKO,U,"P, U",U,U,.,P,.,.
.,.,.,.,7881,aloalo vao,Mussaenda,raiateensis,.,.,MURA5,U,"P, U",U,U,.,P,.,.
.,.,.,.,7861,ngaio tree,Myoporum,laetum,.,.,MYLA5,U,U,U,U,.,.,U,.
.,.,.,.,7883,naio,Myoporum,sandwicense,.,.,MYSA,U,"P, U",U,U,.,P,.,.
.,.,.,.,7886,red rodwood,Myrcia,citrifolia,.,.,MYCI,U,U,U,"C, U",C,.,.,.
.,.,.,.,7887,cieneguillo,Myrcia,deflexa,.,.,MYDE,U,U,U,"C, U",C,.,.,.
.,.,.,.,7888,curame,Myrcia,fallax,.,.,MYFA3,U,U,U,"C, U",C,.,.,.
.,.,.,.,7889,guayabacon,Myrcia,leptoclada,.,.,MYLE,U,U,U,"C, U",C,.,.,.
.,.,.,.,7890,ausu,Myrcia,paganii,.,.,MYPA,U,U,U,"C, U",C,.,.,.
.,.,.,.,7891,punchberry,Myrcia,splendens,.,.,MYSP,U,U,U,"C, U",C,.,.,.
.,.,.,.,7893,twinberry,Myrcianthes,fragrans,.,.,MYFR,U,U,U,"C, U",C,.,.,.
.,.,.,.,7894,jaboticaba,Myrciaria,cauliflora,.,.,MYCA9,U,"P, U",U,U,.,P,.,.
.,.,.,.,7895,guavaberry,Myrciaria,floribunda,.,.,MYFL,U,U,U,"C, U",C,.,.,.
.,.,.,.,7899,"yamamomo, strawberry tree",Myrica,rubra,.,.,MYRU3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7902,atoneulu,Myristica,hypargyraea,.,.,MYHY2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7903,adepurot,Myristica,insularis,.,.,MYIN3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7906,Myristica inutilis,Myristica,inutilis,.,.,MYIN4,U,"P, U",U,U,.,P,.,.
.,.,.,.,7905,cercipo,Myrospermum,frutescens,.,.,MYFR2,U,U,U,"C, U",C,.,.,.
.,.,.,.,7907,balsam of Tolu,Myroxylon,balsamum,.,.,MYBA3,U,U,U,"C, U",C,.,.,.
.,.,.,.,7910,forest colicwood,Myrsine,alyxifolia,.,.,MYAL4,U,"P, U",U,U,.,P,.,.
.,.,.,.,7911,leathery colicwood,Myrsine,coriacea,.,.,MYCO2,U,U,U,"C, U",C,.,.,.
.,.,MLE,.,7912,Myrsine cubana,Myrsine,cubana,.,.,MYCU2,U,U,U,"C, U",C,.,.,.
.,.,.,.,7913,summit colicwood,Myrsine,degeneri,.,.,MYDE2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7914,mountain colicwood,Myrsine,emarginata,.,.,MYEM,U,"P, U",U,U,.,P,.,.
.,.,.,.,7915,streambank colicwood,Myrsine,fernseei,.,.,MYFE,U,"P, U",U,U,.,P,.,.
.,.,.,.,7916,Koolau Range colicwood,Myrsine,fosbergii,.,.,MYFO,U,"P, U",U,U,.,P,.,.
.,.,.,.,7918,Wahiawa Bog colicwood,Myrsine,helleri,.,.,MYHE3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7919,Kauai colicwood,Myrsine,kauaiensis,.,.,MYKA,U,"P, U",U,U,.,P,.,.
.,.,.,.,7920,Kokee colicwood,Myrsine,knudsenii,.,.,MYKN,U,"P, U",U,U,.,P,.,.
.,.,.,.,7921,Lanai colicwood,Myrsine,lanaiensis,.,.,MYLA3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7922,kolea lau nui,Myrsine,lessertiana,.,.,MYLE2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7923,Hanapepe River colicwood,Myrsine,mezii,.,.,MYME2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7929,Myrsine palauensis,Myrsine,palauensis,.,.,MYPA7,U,"P, U",U,U,.,P,.,.
.,.,.,.,7924,swamp colicwood,Myrsine,petiolata,.,.,MYPE3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7925,Molokai colicwood,Myrsine,pukooensis,.,.,MYPU2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7926,kokea lau lii,Myrsine,sandwicensis,.,.,MYSA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7928,Mt. Kahili colicwood,Myrsine,wawraea,.,.,MYWA,U,"P, U",U,U,.,P,.,.
.,.,.,.,7932,Nectandra coriacea,Nectandra,coriacea,.,.,NECO,U,U,U,"C, U",C,.,.,.
.,.,.,.,7933,shinglewood,Nectandra,hihua,.,.,NEHI2,U,U,U,"C, U",C,.,.,.
.,.,.,.,7934,Nectandra krugii,Nectandra,krugii,.,.,NEKR,U,U,U,"C, U",C,.,.,.
.,.,.,.,7935,Nectandra membranacea,Nectandra,membranacea,.,.,NEME3,U,U,U,"C, U",C,.,.,.
.,.,.,.,7936,Nectandra patens,Nectandra,patens,.,.,NEPA4,U,U,U,"C, U",C,.,.,.
.,.,.,.,7939,Nectandra turbacensis,Nectandra,turbacensis,.,.,NETU,U,U,U,"C, U",C,.,.,.
.,.,.,.,7940,saltwood,Neea,buxifolia,.,.,NEBU,U,U,U,"C, U",C,.,.,.
.,.,.,.,7944,kadam,Neolamarckia,cadamba,.,.,NECA7,U,U,U,"C, U",C,.,.,.
.,.,.,.,7946,aquilon,Neolaugeria,resinosa,.,.,NERE2,U,U,U,"C, U",C,.,.,.
.,.,.,.,7948,afa,Neonauclea,forsteri,.,.,NEFO2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7952,Rambutan,Nephelium,lappaceum,.,.,NELA7,U,"P, U",U,U,.,P,.,.
.,.,.,.,7953,pulasan,Nephelium,ramboutan-ake,.,.,NERA3,U,"P, U",U,U,.,P,.,.
.,.,.,.,7954,maaloa,Neraudia,melastomifolia,.,.,NEME5,U,"P, U",U,U,.,P,.,.
.,.,.,.,7958,keahi,Nesoluma,polynesicum,.,.,NEPO,U,"P, U",U,U,.,P,.,.
.,.,.,.,7960,Hawaii olive,Nestegis,sandwicensis,.,.,NESA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7962,"kalm, aralm",Neuburgia,celebica,.,.,NECE,U,"P, U",U,U,.,P,.,.
.,.,.,.,7964,tree tobacco,Nicotiana,glauca,.,.,NIGL,U,"P, U",U,U,.,P,U,.
.,.,.,.,7966,smallflower aiea,Nothocestrum,breviflorum,.,.,NOBR2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7967,broadleaf aiea,Nothocestrum,latifolium,.,.,NOLA,U,"P, U",U,U,.,P,.,.
.,.,.,.,7968,longleaf aiea,Nothocestrum,longifolium,.,.,NOLO,U,"P, U",U,U,.,P,.,.
.,.,.,.,7969,Oahu aiea,Nothocestrum,peltatum,.,.,NOPE,U,"P, U",U,U,.,P,.,.
.,.,.,.,7971,kaala rockwort,Nototrichium,humile,.,.,NOHU,U,"P, U",U,U,.,P,.,.
.,.,.,.,7972,Hawaii rockwort,Nototrichium,sandwicense,.,.,NOSA,U,"P, U",U,U,.,P,.,.
.,.,.,.,691,water tupelo,Nyssa,aquatica,.,.,NYAQ2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,694,swamp tupelo,Nyssa,biflora,.,.,NYBI,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,692,Ogeechee tupelo,Nyssa,ogeche,.,.,NYOG,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,693,blackgum,Nyssa,sylvatica,.,.,NYSY,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,7976,African bird's-eye bush,Ochna,mossambicensis,.,.,OCMO4,U,U,U,"C, U",C,.,.,.
.,.,.,.,7978,Thomas birds-eye bush,Ochna,thomasiana,.,.,OCTH,U,"P, U",U,U,.,P,.,.
.,.,.,.,7980,Ochroma pyramidale,Ochroma,pyramidale,.,.,OCPY,U,"P, U",U,"C, U",C,P,.,.
.,.,.,.,7982,holei,Ochrosia,compta,.,.,OCCO,U,"P, U",U,U,.,P,.,.
.,.,.,.,7983,island yellowwood,Ochrosia,haleakalae,.,.,OCHA,U,"P, U",U,U,.,P,.,.
.,.,.,.,7984,Kauai yellowwood,Ochrosia,kauaiensis,.,.,OCKA,U,"P, U",U,U,.,P,.,.
.,.,.,.,7985,Hawaii yellowwood,Ochrosia,kilaueaensis,.,.,OCKI,U,"P, U",U,U,.,P,.,.
.,.,.,.,7987,langiti,Ochrosia,mariannensis,.,.,OCMA2,U,"P, U",U,U,.,P,.,.
.,.,.,.,7942,fao,Ochrosia,oppositifolia,.,.,OCOP,U,"P, U",U,U,.,P,.,.
.,.,.,.,7990,laurel espada,Ocotea,floribunda,.,.,OCFL,U,U,U,"C, U",C,.,.,.
.,.,.,.,7991,black sweetwood,Ocotea,foeniculacea,.,.,OCFO,U,U,U,"C, U",C,.,.,.
.,.,.,.,7994,loblolly sweetwood,Ocotea,leucoxylon,.,.,OCLE,U,U,U,"C, U",C,.,.,.
.,.,.,.,7996,nemoca,Ocotea,moschata,.,.,OCMO,U,U,U,"C, U",C,.,.,.
.,.,.,.,7997,laurel sassafras,Ocotea,nemodaphne,.,.,OCNE,U,U,U,"C, U",C,.,.,.
.,.,.,.,7999,laurel de paloma,Ocotea,portoricensis,.,.,OCPO,U,U,U,"C, U",C,.,.,.
.,.,.,.,8001,nemoca cimarrona,Ocotea,spathulata,.,.,OCSP,U,U,U,"C, U",C,.,.,.
.,.,.,.,8003,Wright's laurel canelon,Ocotea,wrightii,.,.,OCWR,U,U,U,"C, U",C,.,.,.
.,.,.,.,8004,olive,Olea,europaea,.,.,OLEU,U,"P, U",U,U,.,P,U,.
.,.,.,.,8019,"amansis, edebsungelked, necklace bead tree",Ormosia,calavensis,.,.,ORCA12,U,"P, U",U,U,.,P,.,.
.,.,.,.,8020,peronia,Ormosia,krugii,.,.,ORKR,U,U,U,"C, U",C,.,.,.
.,.,.,.,8022,kesiamel,Osmoxylon,oliveri,.,.,OSOL,U,"P, U",U,U,.,P,.,.
.,.,.,.,8023,kesiamel,Osmoxylon,pachyphyllum,.,.,OSPA,U,"P, U",U,U,.,P,.,.
.,.,.,.,718,kesiamel,Osmoxylon,truncatum,.,.,OSTR,U,"P, U",U,U,.,P,.,.
.,.,.,.,701,eastern hophornbeam,Ostrya,virginiana,.,.,OSVI,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
.,.,.,.,8027,pincho palo de rosa,Ottoschulzia,rhodoxylon,.,.,OTRH,U,U,U,"C, U",C,.,.,.
.,.,.,.,8029,chicharron amarillo,Ouratea,ilicifolia,.,.,OUIL,U,U,U,"C, U",C,.,.,.
.,.,.,.,8030,abey amarillo,Ouratea,littoralis,.,.,OULI,U,U,U,"C, U",C,.,.,.
.,.,.,.,8032,guanabanilla,Ouratea,striata,.,.,OUST,U,U,U,"C, U",C,.,.,.
