"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Themistoclesia","alata","Themistoclesia","laxa",2
"Themistoclesia","anfracta","Themistoclesia","anfractum",2
"Themistoclesia","anfractum","Themistoclesia","anfracta",2
"Themistoclesia","compacta","Themistoclesia","compta",2
"Themistoclesia","compta","Themistoclesia","compacta",2
"Themistoclesia","humboldtiana","Themistoclesia","humboltiana",1
"Themistoclesia","humboltiana","Themistoclesia","humboldtiana",1
"Themistoclesia","laxa","Themistoclesia","alata",2
"Themistoclesia","mucronata","Themistoclesia","mucronatus",2
"Themistoclesia","mucronatus","Themistoclesia","mucronata",2
"Themistoclesia","pittieri","Themistoclesia","pittierii",1
"Themistoclesia","pittierii","Themistoclesia","pittieri",1
"Themistoclesia","smithiana","Themistoclesia","smithianum",2
"Themistoclesia","smithianum","Themistoclesia","smithiana",2
