"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Ormocarpum","cochinchinense","Ormocarpum","cochinchinensis",2
"Ormocarpum","cochinchinensis","Ormocarpum","cochinchinense",2
"Ormocarpum","sennodes","Ormocarpum","sennoides",1
"Ormocarpum","sennoides","Ormocarpum","sennodes",1
"Ormocarpum","striatum","Ormocarpum","striolatum",2
"Ormocarpum","striolatum","Ormocarpum","striatum",2
"Ormocarpum","trachycarpum","Ormocarpum","trichocarpum",2
"Ormocarpum","trichocarpum","Ormocarpum","trachycarpum",2
