"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Ecbolium","amaranthodes","Ecbolium","amaranthoides",1
"Ecbolium","amaranthoides","Ecbolium","amaranthodes",1
"Ecbolium","anagallodes","Ecbolium","anagalloides",1
"Ecbolium","anagalloides","Ecbolium","anagallodes",1
"Ecbolium","atherstonei","Ecbolium","atherstonii",1
"Ecbolium","atherstonii","Ecbolium","atherstonei",1
"Ecbolium","flavum","Ecbolium","laxum",2
"Ecbolium","furcatum","Ecbolium","sulcatum",2
"Ecbolium","incanum","Ecbolium","nanum",2
"Ecbolium","kirkianum","Ecbolium","kurzianum",2
"Ecbolium","kurzianum","Ecbolium","kirkianum",2
"Ecbolium","kurzianum","Ecbolium","ruizianum",2
"Ecbolium","laxum","Ecbolium","flavum",2
"Ecbolium","laxum","Ecbolium","nanum",2
"Ecbolium","majus","Ecbolium","minus",2
"Ecbolium","menthodes","Ecbolium","menthoides",1
"Ecbolium","menthoides","Ecbolium","menthodes",1
"Ecbolium","minus","Ecbolium","majus",2
"Ecbolium","nanum","Ecbolium","incanum",2
"Ecbolium","nanum","Ecbolium","laxum",2
"Ecbolium","nodosum","Ecbolium","odorum",2
"Ecbolium","odorum","Ecbolium","nodosum",2
"Ecbolium","orchiodes","Ecbolium","orchioides",1
"Ecbolium","orchioides","Ecbolium","orchiodes",1
"Ecbolium","origanodes","Ecbolium","origanoides",1
"Ecbolium","origanoides","Ecbolium","origanodes",1
"Ecbolium","ruizianum","Ecbolium","kurzianum",2
"Ecbolium","salicifolium","Ecbolium","salviifolium",2
"Ecbolium","salsolodes","Ecbolium","salsoloides",1
"Ecbolium","salsoloides","Ecbolium","salsolodes",1
"Ecbolium","salviifolium","Ecbolium","salicifolium",2
"Ecbolium","spartiodes","Ecbolium","spartioides",1
"Ecbolium","spartioides","Ecbolium","spartiodes",1
"Ecbolium","sulcatum","Ecbolium","furcatum",2
"Ecbolium","wynaadense","Ecbolium","wynadense",1
"Ecbolium","wynadense","Ecbolium","wynaadense",1
