"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Terminalia","acuta","Terminalia","alata",2
"Terminalia","acuta","Terminalia","aruta",1
"Terminalia","alata","Terminalia","acuta",2
"Terminalia","alata","Terminalia","aruta",2
"Terminalia","alata","Terminalia","bialata",2
"Terminalia","alata","Terminalia","flava",2
"Terminalia","alata","Terminalia","ovata",2
"Terminalia","albida","Terminalia","pallida",2
"Terminalia","amazonia","Terminalia","amazonica",1
"Terminalia","amazonica","Terminalia","amazonia",1
"Terminalia","arenicola","Terminalia","aridicola",2
"Terminalia","aridicola","Terminalia","arenicola",2
"Terminalia","arjuna","Terminalia","arunja",2
"Terminalia","arjuna","Terminalia","aruta",2
"Terminalia","aroldoi","Terminalia","haroldii",2
"Terminalia","arostrata","Terminalia","prostrata",1
"Terminalia","arostrata","Terminalia","rostrata",1
"Terminalia","arunja","Terminalia","arjuna",2
"Terminalia","arunja","Terminalia","aruta",2
"Terminalia","aruta","Terminalia","acuta",1
"Terminalia","aruta","Terminalia","alata",2
"Terminalia","aruta","Terminalia","arjuna",2
"Terminalia","aruta","Terminalia","arunja",2
"Terminalia","balansae","Terminalia","balansaei",1
"Terminalia","balansaei","Terminalia","balansae",1
"Terminalia","balladelli","Terminalia","balladellii",1
"Terminalia","balladellii","Terminalia","balladelli",1
"Terminalia","belirica","Terminalia","bellirica",1
"Terminalia","bellirica","Terminalia","belirica",1
"Terminalia","bentzoe","Terminalia","benzoe",1
"Terminalia","benzoe","Terminalia","bentzoe",1
"Terminalia","bialata","Terminalia","alata",2
"Terminalia","bilariana","Terminalia","hilariana",1
"Terminalia","bimarginata","Terminalia","emarginata",2
"Terminalia","bispinosa","Terminalia","spinosa",2
"Terminalia","boivinii","Terminalia","bovinii",1
"Terminalia","bovinii","Terminalia","boivinii",1
"Terminalia","bucidioides","Terminalia","bucidoides",1
"Terminalia","bucidoides","Terminalia","bucidioides",1
"Terminalia","capitanea","Terminalia","capitata",2
"Terminalia","capitata","Terminalia","capitanea",2
"Terminalia","capitata","Terminalia","capitulata",2
