"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Uragoga","accraensis","Uragoga","aceraensis",1
"Uragoga","aceraensis","Uragoga","accraensis",1
"Uragoga","acuifolia","Uragoga","acutifolia",1
"Uragoga","acutiflora","Uragoga","acutifolia",2
"Uragoga","acutifolia","Uragoga","acuifolia",1
"Uragoga","acutifolia","Uragoga","acutiflora",2
"Uragoga","acutifolia","Uragoga","arbutifolia",2
"Uragoga","adenophylla","Uragoga","stenophylla",2
"Uragoga","aemulans","Uragoga","simulans",2
"Uragoga","agnata","Uragoga","lanata",2
"Uragoga","agnata","Uragoga","vaginata",2
"Uragoga","alba","Uragoga","calva",2
"Uragoga","alba","Uragoga","laxa",2
"Uragoga","angulata","Uragoga","angulosa",2
"Uragoga","angulata","Uragoga","angustata",2
"Uragoga","angulata","Uragoga","undulata",2
"Uragoga","angulosa","Uragoga","angulata",2
"Uragoga","angulosa","Uragoga","rugulosa",2
"Uragoga","angustata","Uragoga","angulata",2
"Uragoga","apicata","Uragoga","apiculata",2
"Uragoga","apicata","Uragoga","capitata",2
"Uragoga","apicata","Uragoga","picta",2
"Uragoga","apicata","Uragoga","spicata",1
"Uragoga","apiculata","Uragoga","apicata",2
"Uragoga","apiculata","Uragoga","articulata",2
"Uragoga","apiculata","Uragoga","auriculata",2
"Uragoga","apiculata","Uragoga","paniculata",2
"Uragoga","arbutifolia","Uragoga","acutifolia",2
"Uragoga","arenosa","Uragoga","venosa",2
"Uragoga","articulata","Uragoga","apiculata",2
"Uragoga","articulata","Uragoga","auriculata",2
"Uragoga","articulata","Uragoga","reticulata",2
"Uragoga","auriculata","Uragoga","apiculata",2
"Uragoga","auriculata","Uragoga","articulata",2
"Uragoga","axillaris","Uragoga","mamillaris",2
"Uragoga","bahiensis","Uragoga","ibaliensis",2
"Uragoga","bahiensis","Uragoga","tahitensis",2
"Uragoga","barbiflora","Uragoga","parviflora",2
"Uragoga","barraensis","Uragoga","paraensis",2
"Uragoga","bieleri","Uragoga","sieberi",2
"Uragoga","bifaria","Uragoga","riparia",2
"Uragoga","bisglaziouvii","Uragoga","bisglaziovii",1
"Uragoga","bisglaziovii","Uragoga","bisglaziouvii",1
"Uragoga","bisulcata","Uragoga","sulcata",2
"Uragoga","bisulcata","Uragoga","trisulcata",2
"Uragoga","blanchetiana","Uragoga","franchetiana",2
"Uragoga","boivini","Uragoga","boivinii",1
"Uragoga","boivinii","Uragoga","boivini",1
"Uragoga","bolusiana","Uragoga","solmsiana",2
"Uragoga","brachiata","Uragoga","bracteata",2
"Uragoga","brachyandra","Uragoga","brachyantha",2
"Uragoga","brachyantha","Uragoga","brachyandra",2
"Uragoga","brachyloba","Uragoga","brachypoda",2
"Uragoga","brachypoda","Uragoga","brachyloba",2
"Uragoga","bracteata","Uragoga","brachiata",2
"Uragoga","bracteata","Uragoga","bracteolata",2
"Uragoga","bracteolata","Uragoga","bracteata",2
"Uragoga","calothyrsa","Uragoga","calothyrsus",2
"Uragoga","calothyrsus","Uragoga","calothyrsa",2
"Uragoga","calva","Uragoga","alba",2
"Uragoga","calva","Uragoga","fulva",2
"Uragoga","calycina","Uragoga","calycosa",2
"Uragoga","calycosa","Uragoga","calycina",2
"Uragoga","capensis","Uragoga","yapoensis",2
"Uragoga","capitata","Uragoga","apicata",2
"Uragoga","celastrodes","Uragoga","celastroides",1
"Uragoga","celastroides","Uragoga","celastrodes",1
"Uragoga","chionantha","Uragoga","chlorantha",2
"Uragoga","chlorantha","Uragoga","chionantha",2
"Uragoga","coffeodes","Uragoga","coffeoides",1
"Uragoga","coffeoides","Uragoga","coffeodes",1
"Uragoga","colorata","Uragoga","coronata",2
"Uragoga","colorata","Uragoga","odorata",2
"Uragoga","comitis","Uragoga","mitis",2
"Uragoga","conferta","Uragoga","congesta",2
"Uragoga","congesta","Uragoga","conferta",2
"Uragoga","connata","Uragoga","cordata",2
"Uragoga","connata","Uragoga","cornuta",2
"Uragoga","connata","Uragoga","coronata",2
"Uragoga","conocarpa","Uragoga","goniocarpa",2
"Uragoga","constricta","Uragoga","contracta",2
"Uragoga","constricta","Uragoga","contricta",1
"Uragoga","contracta","Uragoga","constricta",2
"Uragoga","contracta","Uragoga","contricta",1
"Uragoga","contricta","Uragoga","constricta",1
"Uragoga","contricta","Uragoga","contracta",1
"Uragoga","cordata","Uragoga","connata",2
"Uragoga","cordata","Uragoga","cornuta",2
"Uragoga","cordata","Uragoga","coronata",2
"Uragoga","cordifolia","Uragoga","cornifolia",1
"Uragoga","cornifolia","Uragoga","cordifolia",1
"Uragoga","cornifolia","Uragoga","ternifolia",2
"Uragoga","cornuta","Uragoga","connata",2
"Uragoga","cornuta","Uragoga","cordata",2
"Uragoga","cornuta","Uragoga","coronata",2
"Uragoga","coronata","Uragoga","colorata",2
"Uragoga","coronata","Uragoga","connata",2
"Uragoga","coronata","Uragoga","cordata",2
"Uragoga","coronata","Uragoga","cornuta",2
"Uragoga","corymbosa","Uragoga","corymbulosa",2
"Uragoga","corymbulosa","Uragoga","corymbosa",2
"Uragoga","crocea","Uragoga","rosea",2
"Uragoga","curviflora","Uragoga","parviflora",2
"Uragoga","dasyophthalma","Uragoga","lasiophthalma",2
"Uragoga","debilis","Uragoga","nobilis",2
"Uragoga","densifolia","Uragoga","tenuifolia",2
"Uragoga","denticulata","Uragoga","reticulata",2
"Uragoga","depressiglobosa","Uragoga","depressoglobosa",1
"Uragoga","depressoglobosa","Uragoga","depressiglobosa",1
"Uragoga","detoniana","Uragoga","doniana",2
"Uragoga","didymocarpa","Uragoga","didymocarpos",2
"Uragoga","didymocarpos","Uragoga","didymocarpa",2
"Uragoga","doniana","Uragoga","detoniana",2
"Uragoga","doniana","Uragoga","montana",2
"Uragoga","dura","Uragoga","nuda",2
"Uragoga","dura","Uragoga","rubra",2
"Uragoga","egensis","Uragoga","keyensis",2
"Uragoga","elata","Uragoga","laxa",2
"Uragoga","eminiana","Uragoga","lepiniana",2
"Uragoga","eriantha","Uragoga","myriantha",2
"Uragoga","eriantha","Uragoga","triantha",1
"Uragoga","excelsa","Uragoga","extensa",2
"Uragoga","extensa","Uragoga","excelsa",2
"Uragoga","fagueti","Uragoga","faguetii",1
"Uragoga","faguetii","Uragoga","fagueti",1
"Uragoga","flaviflora","Uragoga","laxiflora",2
"Uragoga","foliosa","Uragoga","formosa",2
"Uragoga","formosa","Uragoga","foliosa",2
"Uragoga","franchetiana","Uragoga","blanchetiana",2
"Uragoga","fulva","Uragoga","calva",2
"Uragoga","furcata","Uragoga","sulcata",2
"Uragoga","gabrieliae","Uragoga","gabrielis",2
"Uragoga","gabrieliae","Uragoga","gabriellae",1
"Uragoga","gabrielis","Uragoga","gabrieliae",2
"Uragoga","gabriellae","Uragoga","gabrieliae",1
"Uragoga","gardeniodes","Uragoga","gardenioides",1
"Uragoga","gardenioides","Uragoga","gardeniodes",1
"Uragoga","glabra","Uragoga","glabrata",2
"Uragoga","glabra","Uragoga","glauca",2
"Uragoga","glabrata","Uragoga","glabra",2
"Uragoga","glabrescens","Uragoga","glaucescens",2
"Uragoga","glauca","Uragoga","glabra",2
"Uragoga","glaucescens","Uragoga","glabrescens",2
"Uragoga","goniocarpa","Uragoga","conocarpa",2
"Uragoga","granadensis","Uragoga","granatensis",1
"Uragoga","granatensis","Uragoga","granadensis",1
"Uragoga","grandiflora","Uragoga","grandifolia",2
"Uragoga","grandifolia","Uragoga","grandiflora",2
"Uragoga","gumola","Uragoga","pumila",2
"Uragoga","hexamera","Uragoga","hexandra",2
"Uragoga","hexandra","Uragoga","hexamera",2
"Uragoga","hirsuta","Uragoga","hirta",2
"Uragoga","hirta","Uragoga","hirsuta",2
"Uragoga","hirta","Uragoga","picta",2
"Uragoga","hygrophilodes","Uragoga","hygrophiloides",1
"Uragoga","hygrophiloides","Uragoga","hygrophilodes",1
"Uragoga","ibaliensis","Uragoga","bahiensis",2
"Uragoga","inundata","Uragoga","undata",2
"Uragoga","ixorodes","Uragoga","ixoroides",1
"Uragoga","ixoroides","Uragoga","ixorodes",1
