"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Schradera","cephalotes","Schradera","cephalotis",1
"Schradera","cephalotis","Schradera","cephalotes",1
"Schradera","cuatrecasasii","Schradera","cuatrecasii",2
"Schradera","cuatrecasii","Schradera","cuatrecasasii",2
"Schradera","hilliaefolia","Schradera","hilliifolia",2
"Schradera","hilliifolia","Schradera","hilliaefolia",2
"Schradera","sirinamensis","Schradera","surinamensis",1
"Schradera","surinamensis","Schradera","sirinamensis",1
