"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Atractocarpus","baladica","Atractocarpus","baladicus",2
"Atractocarpus","baladicus","Atractocarpus","baladica",2
"Atractocarpus","balansaeanus","Atractocarpus","balansanus",2
"Atractocarpus","balansaeanus","Atractocarpus","balanseanus",1
"Atractocarpus","balansanus","Atractocarpus","balansaeanus",2
"Atractocarpus","balansanus","Atractocarpus","balanseanus",1
"Atractocarpus","balanseanus","Atractocarpus","balansaeanus",1
"Atractocarpus","balanseanus","Atractocarpus","balansanus",1
"Atractocarpus","benthamiana","Atractocarpus","benthamianus",2
"Atractocarpus","benthamianus","Atractocarpus","benthamiana",2
"Atractocarpus","chartacea","Atractocarpus","chartaceus",2
"Atractocarpus","chartaceus","Atractocarpus","chartacea",2
"Atractocarpus","decora","Atractocarpus","decorus",2
"Atractocarpus","decorus","Atractocarpus","decora",2
"Atractocarpus","heterophylla","Atractocarpus","heterophyllus",2
"Atractocarpus","heterophyllus","Atractocarpus","heterophylla",2
"Atractocarpus","hirta","Atractocarpus","hirtus",2
"Atractocarpus","hirtus","Atractocarpus","hirta",2
"Atractocarpus","longestipitatus","Atractocarpus","longistipitatus",1
"Atractocarpus","longistipitatus","Atractocarpus","longestipitatus",1
"Atractocarpus","megacarpa","Atractocarpus","megacarpum",2
"Atractocarpus","megacarpa","Atractocarpus","megacarpus",2
"Atractocarpus","megacarpum","Atractocarpus","megacarpa",2
"Atractocarpus","megacarpum","Atractocarpus","megacarpus",1
"Atractocarpus","megacarpus","Atractocarpus","megacarpa",2
"Atractocarpus","megacarpus","Atractocarpus","megacarpum",1
"Atractocarpus","obscurinervia","Atractocarpus","obscurinervius",2
"Atractocarpus","obscurinervius","Atractocarpus","obscurinervia",2
"Atractocarpus","tenuiflora","Atractocarpus","tenuiflorus",2
"Atractocarpus","tenuiflorus","Atractocarpus","tenuiflora",2
