"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Galega","biflora","Galega","uniflora",2
"Galega","binata","Galega","pinnata",2
"Galega","caerulea","Galega","coerulea",1
"Galega","coerulea","Galega","caerulea",1
"Galega","coroniliifolia","Galega","coronillifolia",1
"Galega","coronillifolia","Galega","coroniliifolia",1
"Galega","crocea","Galega","rosea",2
"Galega","haynii","Galega","heynii",1
"Galega","heynii","Galega","haynii",1
"Galega","lancaefolia","Galega","lanceaefolia",1
"Galega","lanceaefolia","Galega","lancaefolia",1
"Galega","pinnata","Galega","binata",2
"Galega","rosea","Galega","crocea",2
"Galega","sericea","Galega","stricta",2
"Galega","stricta","Galega","sericea",2
"Galega","uniflora","Galega","biflora",2
"Galega","virginiana","Galega","virginica",2
"Galega","virginica","Galega","virginiana",2
