"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Fraxinus","acutifolia","Fraxinus","arbutifolia",2
"Fraxinus","acutifolia","Fraxinus","aucubifolia",2
"Fraxinus","alba","Fraxinus","atra",2
"Fraxinus","americana","Fraxinus","mexicana",2
"Fraxinus","apetala","Fraxinus","dipetala",2
"Fraxinus","arbutifolia","Fraxinus","acutifolia",2
"Fraxinus","atra","Fraxinus","alba",2
"Fraxinus","atra","Fraxinus","aurea",2
"Fraxinus","aucubifolia","Fraxinus","acutifolia",2
"Fraxinus","aurea","Fraxinus","atra",2
"Fraxinus","aurea","Fraxinus","lutea",2
"Fraxinus","berlanderiana","Fraxinus","berlandierana",2
"Fraxinus","berlanderiana","Fraxinus","berlandieriana",1
"Fraxinus","berlandierana","Fraxinus","berlanderiana",2
"Fraxinus","berlandierana","Fraxinus","berlandieriana",1
"Fraxinus","berlandieriana","Fraxinus","berlanderiana",1
"Fraxinus","berlandieriana","Fraxinus","berlandierana",1
"Fraxinus","bicolor","Fraxinus","discolor",2
"Fraxinus","cataubiensis","Fraxinus","catawbiensis",1
"Fraxinus","catawbiensis","Fraxinus","cataubiensis",1
"Fraxinus","caudata","Fraxinus","cordata",2
"Fraxinus","cerasifolia","Fraxinus","ceratifolia",1
"Fraxinus","ceratifolia","Fraxinus","cerasifolia",1
"Fraxinus","ceratifolia","Fraxinus","serratifolia",2
"Fraxinus","ceretana","Fraxinus","ceretanica",2
"Fraxinus","ceretanica","Fraxinus","ceretana",2
"Fraxinus","championiae","Fraxinus","championii",2
"Fraxinus","championii","Fraxinus","championiae",2
"Fraxinus","chiapensis","Fraxinus","chinensis",2
"Fraxinus","chinensis","Fraxinus","chiapensis",2
"Fraxinus","chinensis","Fraxinus","chinesis",1
"Fraxinus","chinesis","Fraxinus","chinensis",1
"Fraxinus","cordata","Fraxinus","caudata",2
"Fraxinus","cubensis","Fraxinus","yubaensis",2
"Fraxinus","densata","Fraxinus","dentata",1
"Fraxinus","densata","Fraxinus","edentata",2
"Fraxinus","dentata","Fraxinus","densata",1
"Fraxinus","dentata","Fraxinus","edentata",1
"Fraxinus","dimorpha","Fraxinus","dimorphus",2
"Fraxinus","dimorphus","Fraxinus","dimorpha",2
"Fraxinus","dipetala","Fraxinus","apetala",2
"Fraxinus","discolor","Fraxinus","bicolor",2
"Fraxinus","dodei","Fraxinus","uhdei",2
"Fraxinus","edentata","Fraxinus","densata",2
"Fraxinus","edentata","Fraxinus","dentata",1
"Fraxinus","elonza","Fraxinus","elonzae",1
"Fraxinus","elonzae","Fraxinus","elonza",1
"Fraxinus","epiptera","Fraxinus","triptera",2
"Fraxinus","florida","Fraxinus","floridana",2
"Fraxinus","floridana","Fraxinus","florida",2
"Fraxinus","glabra","Fraxinus","glauca",2
"Fraxinus","glauca","Fraxinus","glabra",2
"Fraxinus","hopeiensis","Fraxinus","hubeiensis",2
"Fraxinus","hopeiensis","Fraxinus","hupehensis",2
"Fraxinus","hubeiensis","Fraxinus","hopeiensis",2
"Fraxinus","hubeiensis","Fraxinus","hupehensis",2
"Fraxinus","humilior","Fraxinus","humilis",2
"Fraxinus","humilis","Fraxinus","humilior",2
