"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Brachyglottis","bifistulosa","Brachyglottis","bifistulosus",2
"Brachyglottis","bifistulosus","Brachyglottis","bifistulosa",2
"Brachyglottis","cassinioides","Brachyglottis","cassinoides",1
"Brachyglottis","cassinoides","Brachyglottis","cassinioides",1
"Brachyglottis","compacta","Brachyglottis","compactus",2
"Brachyglottis","compactus","Brachyglottis","compacta",2
"Brachyglottis","elaeagnifolia","Brachyglottis","elaeagnifolius",2
"Brachyglottis","elaeagnifolius","Brachyglottis","elaeagnifolia",2
"Brachyglottis","glastifolius","Brachyglottis","latifolius",2
"Brachyglottis","greyi","Brachyglottis","greyii",1
"Brachyglottis","greyii","Brachyglottis","greyi",1
"Brachyglottis","hectori","Brachyglottis","hectorii",1
"Brachyglottis","hectorii","Brachyglottis","hectori",1
"Brachyglottis","lapidosa","Brachyglottis","lapidosus",2
"Brachyglottis","lapidosus","Brachyglottis","lapidosa",2
"Brachyglottis","latifolius","Brachyglottis","glastifolius",2
"Brachyglottis","latifolius","Brachyglottis","laxifolius",1
"Brachyglottis","laxifolia","Brachyglottis","laxifolius",2
"Brachyglottis","laxifolius","Brachyglottis","latifolius",1
"Brachyglottis","laxifolius","Brachyglottis","laxifolia",2
"Brachyglottis","pentacopa","Brachyglottis","pentacopus",2
"Brachyglottis","pentacopus","Brachyglottis","pentacopa",2
"Brachyglottis","reinoldi","Brachyglottis","reinoldii",1
"Brachyglottis","reinoldii","Brachyglottis","reinoldi",1
"Brachyglottis","remotifolia","Brachyglottis","remotifolius",2
"Brachyglottis","remotifolius","Brachyglottis","remotifolia",2
"Brachyglottis","repanda","Brachyglottis","repandus",2
"Brachyglottis","repandus","Brachyglottis","repanda",2
"Brachyglottis","revoluta","Brachyglottis","revolutus",2
"Brachyglottis","revolutus","Brachyglottis","revoluta",2
"Brachyglottis","rotundifolia","Brachyglottis","rotundifolius",2
"Brachyglottis","rotundifolius","Brachyglottis","rotundifolia",2
"Brachyglottis","sciadophila","Brachyglottis","sciadophilus",2
"Brachyglottis","sciadophilus","Brachyglottis","sciadophila",2
"Brachyglottis","southlandica","Brachyglottis","southlandicus",2
"Brachyglottis","southlandicus","Brachyglottis","southlandica",2
