"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Amaioua","baccifera","Amaioua","saccifera",1
"Amaioua","jacquinioides","Amaioua","jacquinoides",1
"Amaioua","jacquinioides","Amaioua","jaquinioides",1
"Amaioua","jacquinoides","Amaioua","jacquinioides",1
"Amaioua","jacquinoides","Amaioua","jaquinioides",2
"Amaioua","jaquinioides","Amaioua","jacquinioides",1
"Amaioua","jaquinioides","Amaioua","jacquinoides",2
"Amaioua","monteiroae","Amaioua","monteiroi",2
"Amaioua","monteiroi","Amaioua","monteiroae",2
"Amaioua","saccifera","Amaioua","baccifera",1
