"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Capurodendron","antongiliense","Capurodendron","antongiliensis",2
"Capurodendron","antongiliensis","Capurodendron","antongiliense",2
"Capurodendron","delphinense","Capurodendron","delphinensis",2
"Capurodendron","delphinensis","Capurodendron","delphinense",2
"Capurodendron","gracilifolia","Capurodendron","gracilifolium",2
"Capurodendron","gracilifolium","Capurodendron","gracilifolia",2
"Capurodendron","mandrarense","Capurodendron","mandrarensis",2
"Capurodendron","mandrarensis","Capurodendron","mandrarense",2
