"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Nageia","alpina","Nageia","andina",2
"Nageia","andina","Nageia","alpina",2
"Nageia","baccarii","Nageia","beccarii",1
"Nageia","beccarii","Nageia","baccarii",1
"Nageia","curvifolia","Nageia","parvifolia",2
"Nageia","elata","Nageia","laeta",2
"Nageia","elata","Nageia","ovata",2
"Nageia","ensifolia","Nageia","tenuifolia",2
"Nageia","excelsa","Nageia","excesla",1
"Nageia","excesla","Nageia","excelsa",1
"Nageia","kirkiana","Nageia","koraiana",2
"Nageia","koraiana","Nageia","kirkiana",2
"Nageia","laeta","Nageia","elata",2
"Nageia","meyeraeana","Nageia","meyeriana",2
"Nageia","meyeriana","Nageia","meyeraeana",2
"Nageia","minor","Nageia","minus",2
"Nageia","minus","Nageia","minor",2
"Nageia","ovata","Nageia","elata",2
"Nageia","parvifolia","Nageia","curvifolia",2
"Nageia","taxodes","Nageia","taxoides",1
"Nageia","taxoides","Nageia","taxodes",1
"Nageia","tenuifolia","Nageia","ensifolia",2
"Nageia","thevetiaefolia","Nageia","thevetiifolia",2
"Nageia","thevetiifolia","Nageia","thevetiaefolia",2
