"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Aesculus","carnea","Aesculus","xcarnea",1
"Aesculus","chinensis","Aesculus","ohioensis",2
"Aesculus","chinensis","Aesculus","sinensis",2
"Aesculus","incisa","Aesculus","indica",2
"Aesculus","indica","Aesculus","incisa",2
"Aesculus","khassyana","Aesculus","khasyana",1
"Aesculus","khasyana","Aesculus","khassyana",1
"Aesculus","macrostachya","Aesculus","macrostachys",1
"Aesculus","macrostachys","Aesculus","macrostachya",1
"Aesculus","ohioensis","Aesculus","chinensis",2
"Aesculus","pavia","Aesculus","pawia",1
"Aesculus","pawia","Aesculus","pavia",1
"Aesculus","pubescens","Aesculus","rubescens",1
"Aesculus","rubescens","Aesculus","pubescens",1
"Aesculus","sinensis","Aesculus","chinensis",2
"Aesculus","woerlitzensis","Aesculus","worlitzensis",1
"Aesculus","worlitzensis","Aesculus","woerlitzensis",1
"Aesculus","xcarnea","Aesculus","carnea",1
