"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Cochlospermum","cadinae","Cochlospermum","codinae",1
"Cochlospermum","codinae","Cochlospermum","cadinae",1
"Cochlospermum","gillivraei","Cochlospermum","gillvraei",1
"Cochlospermum","gillvraei","Cochlospermum","gillivraei",1
"Cochlospermum","heteronemum","Cochlospermum","heteroneurum",2
"Cochlospermum","heteroneurum","Cochlospermum","heteronemum",2
"Cochlospermum","luetzeiburgii","Cochlospermum","luetzelburgii",1
"Cochlospermum","luetzelburgii","Cochlospermum","luetzeiburgii",1
"Cochlospermum","malvifolium","Cochlospermum","parvifolium",2
"Cochlospermum","noldeae","Cochlospermum","noldei",2
"Cochlospermum","noldei","Cochlospermum","noldeae",2
"Cochlospermum","parvifolium","Cochlospermum","malvifolium",2
"Cochlospermum","parvifolium","Cochlospermum","parviifolium",1
"Cochlospermum","parviifolium","Cochlospermum","parvifolium",1
"Cochlospermum","tetraporum","Cochlospermum","tetrasporum",1
"Cochlospermum","tetrasporum","Cochlospermum","tetraporum",1
