"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Machaerium","acaciaefolium","Machaerium","acaciefolium",1
"Machaerium","acaciaefolium","Machaerium","acaciifolium",2
"Machaerium","acaciefolium","Machaerium","acaciaefolium",1
"Machaerium","acaciefolium","Machaerium","acaciifolium",1
"Machaerium","acaciifolium","Machaerium","acaciaefolium",2
"Machaerium","acaciifolium","Machaerium","acaciefolium",1
"Machaerium","allemani","Machaerium","allemanii",1
"Machaerium","allemanii","Machaerium","allemani",1
"Machaerium","armatum","Machaerium","atratum",2
"Machaerium","atratum","Machaerium","armatum",2
"Machaerium","atratum","Machaerium","striatum",2
"Machaerium","bondaen","Machaerium","bondaense",2
"Machaerium","bondaense","Machaerium","bondaen",2
"Machaerium","cobanense","Machaerium","tobagense",2
"Machaerium","darlense","Machaerium","paraense",2
"Machaerium","darlense","Machaerium","saraense",2
"Machaerium","diadelphum","Machaerium","isadelphum",2
"Machaerium","erianthum","Machaerium","myrianthum",2
"Machaerium","eriocarpum","Machaerium","leiocarpum",2
"Machaerium","eriostemon","Machaerium","eriostemum",2
"Machaerium","eriostemum","Machaerium","eriostemon",2
"Machaerium","fagifolium","Machaerium","latifolium",2
"Machaerium","firmum","Machaerium","hirtum",2
"Machaerium","glabratum","Machaerium","glabrum",2
"Machaerium","glabrum","Machaerium","glabratum",2
"Machaerium","glaziouvii","Machaerium","glaziovii",1
"Machaerium","glaziovii","Machaerium","glaziouvii",1
"Machaerium","hirtum","Machaerium","firmum",2
"Machaerium","huanucoense","Machaerium","nuanucoense",1
"Machaerium","isadelphum","Machaerium","diadelphum",2
"Machaerium","lanatum","Machaerium","lineatum",2
"Machaerium","lanatum","Machaerium","lunatum",1
"Machaerium","latifolium","Machaerium","fagifolium",2
"Machaerium","leiocarpum","Machaerium","eriocarpum",2
"Machaerium","lineatum","Machaerium","lanatum",2
"Machaerium","lineatum","Machaerium","lunatum",2
"Machaerium","longifolium","Machaerium","oblongifolium",2
"Machaerium","lunatum","Machaerium","lanatum",1
"Machaerium","lunatum","Machaerium","lineatum",2
"Machaerium","lunatum","Machaerium","quinatum",2
"Machaerium","macaense","Machaerium","paraense",2
"Machaerium","macaense","Machaerium","saraense",2
"Machaerium","macrophyllum","Machaerium","microphyllum",1
"Machaerium","microphyllum","Machaerium","macrophyllum",1
"Machaerium","mucronatum","Machaerium","mucronulatum",2
"Machaerium","mucronulatum","Machaerium","mucronatum",2
"Machaerium","myrianthum","Machaerium","erianthum",2
"Machaerium","nicticans","Machaerium","nictitans",1
"Machaerium","nicticans","Machaerium","nyctitans",2
"Machaerium","nictitans","Machaerium","nicticans",1
"Machaerium","nictitans","Machaerium","nyctitans",1
"Machaerium","nuanucoense","Machaerium","huanucoense",1
"Machaerium","nyctitans","Machaerium","nicticans",2
"Machaerium","nyctitans","Machaerium","nictitans",1
"Machaerium","oblongifolium","Machaerium","longifolium",2
"Machaerium","oxyphyllum","Machaerium","polyphyllum",2
"Machaerium","paraense","Machaerium","darlense",2
"Machaerium","paraense","Machaerium","macaense",2
"Machaerium","paraense","Machaerium","saraense",1
"Machaerium","parviflorum","Machaerium","parvifolium",2
"Machaerium","parvifolium","Machaerium","parviflorum",2
"Machaerium","pilosum","Machaerium","spinosum",2
"Machaerium","pilosum","Machaerium","villosum",2
"Machaerium","polyphyllum","Machaerium","oxyphyllum",2
"Machaerium","quinata","Machaerium","quinatum",2
"Machaerium","quinatum","Machaerium","lunatum",2
"Machaerium","quinatum","Machaerium","quinata",2
"Machaerium","robiniaefolium","Machaerium","robiniifolium",2
"Machaerium","robiniifolium","Machaerium","robiniaefolium",2
"Machaerium","saraense","Machaerium","darlense",2
"Machaerium","saraense","Machaerium","macaense",2
"Machaerium","saraense","Machaerium","paraense",1
"Machaerium","scleroxylon","Machaerium","scleroxylum",2
"Machaerium","scleroxylum","Machaerium","scleroxylon",2
"Machaerium","spinosum","Machaerium","pilosum",2
"Machaerium","striatum","Machaerium","atratum",2
"Machaerium","tobagense","Machaerium","cobanense",2
"Machaerium","tobagense","Machaerium","tovarense",2
"Machaerium","tovarense","Machaerium","tobagense",2
"Machaerium","trujillense","Machaerium","truxillense",1
"Machaerium","truxillense","Machaerium","trujillense",1
"Machaerium","vellosianum","Machaerium","vellozianum",1
"Machaerium","vellozianum","Machaerium","vellosianum",1
"Machaerium","villosulum","Machaerium","villosum",2
"Machaerium","villosum","Machaerium","pilosum",2
"Machaerium","villosum","Machaerium","villosulum",2
"Machaerium","violaceo-purpureum","Machaerium","violaceopurpureum",1
"Machaerium","violaceopurpureum","Machaerium","violaceo-purpureum",1
