"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Tovomita","clusiiflora","Tovomita","clusiifolia",2
"Tovomita","clusiifolia","Tovomita","clusiiflora",2
"Tovomita","gracilipes","Tovomita","gracilis",2
"Tovomita","gracilis","Tovomita","gracilipes",2
"Tovomita","ligulata","Tovomita","lingulata",1
"Tovomita","lingulata","Tovomita","ligulata",1
"Tovomita","macrocarpa","Tovomita","microcarpa",1
"Tovomita","melinonii","Tovomita","melinonis",1
"Tovomita","melinonis","Tovomita","melinonii",1
"Tovomita","microcarpa","Tovomita","macrocarpa",1
"Tovomita","parviflora","Tovomita","parvifolia",2
"Tovomita","parviflora","Tovomita","pauciflora",2
"Tovomita","parvifolia","Tovomita","parviflora",2
"Tovomita","parvifolia","Tovomita","pyrifolia",2
"Tovomita","pauciflora","Tovomita","parviflora",2
"Tovomita","pyrifolia","Tovomita","parvifolia",2
"Tovomita","triflora","Tovomita","uniflora",2
"Tovomita","uniflora","Tovomita","triflora",2
