"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Dichaetanthera","articulata","Dichaetanthera","reticulata",2
"Dichaetanthera","heterostemma","Dichaetanthera","heterostemona",2
"Dichaetanthera","heterostemona","Dichaetanthera","heterostemma",2
"Dichaetanthera","lancifolia","Dichaetanthera","latifolia",2
"Dichaetanthera","latifolia","Dichaetanthera","lancifolia",2
"Dichaetanthera","reticulata","Dichaetanthera","articulata",2
"Dichaetanthera","tsaratananensis","Dichaetanthera","tsaratanensis",2
"Dichaetanthera","tsaratanensis","Dichaetanthera","tsaratananensis",2
