"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Cleome","aculeata","Cleome","maculata",2
"Cleome","acuta","Cleome","ruta",2
"Cleome","africana","Cleome","ariana",2
"Cleome","albescens","Cleome","pubescens",2
"Cleome","allamani","Cleome","allamanii",1
"Cleome","allamanii","Cleome","allamani",1
"Cleome","ariana","Cleome","africana",2
"Cleome","ariana","Cleome","bahiana",2
"Cleome","ariana","Cleome","paxiana",2
"Cleome","aurea","Cleome","lutea",2
"Cleome","bahiana","Cleome","ariana",2
"Cleome","bahiana","Cleome","bangiana",2
"Cleome","bahiana","Cleome","paxiana",2
"Cleome","bahiana","Cleome","vahliana",2
"Cleome","bangiana","Cleome","bahiana",2
"Cleome","benedictae","Cleome","benedictii",2
"Cleome","benedictii","Cleome","benedictae",2
"Cleome","brachycarpa","Cleome","trachycarpa",1
"Cleome","caeruleorosea","Cleome","coeruleo-rosea",2
"Cleome","caeruleorosea","Cleome","coeruleorosea",1
"Cleome","canadensis","Cleome","panamensis",2
"Cleome","capensis","Cleome","cubensis",2
"Cleome","chapalaensis","Cleome","chapalensis",1
"Cleome","chapalensis","Cleome","chapalaensis",1
"Cleome","coeruleo-rosea","Cleome","caeruleorosea",2
"Cleome","coeruleo-rosea","Cleome","coeruleorosea",1
"Cleome","coeruleorosea","Cleome","caeruleorosea",1
"Cleome","coeruleorosea","Cleome","coeruleo-rosea",1
"Cleome","crenopetala","Cleome","stenopetala",2
"Cleome","cubensis","Cleome","capensis",2
"Cleome","dagestanica","Cleome","daghestanica",1
"Cleome","daghestanica","Cleome","dagestanica",1
"Cleome","densiflora","Cleome","densifolia",2
"Cleome","densifolia","Cleome","densiflora",2
"Cleome","densifolia","Cleome","tenuifolia",2
"Cleome","erosa","Cleome","rosea",2
"Cleome","flava","Cleome","laxa",2
"Cleome","foliolosa","Cleome","foliosa",2
"Cleome","foliosa","Cleome","foliolosa",2
"Cleome","foliosa","Cleome","formosa",2
"Cleome","formosa","Cleome","foliosa",2
"Cleome","glabra","Cleome","glauca",2
"Cleome","glauca","Cleome","glabra",2
"Cleome","grata","Cleome","ruta",2
"Cleome","guaranitica","Cleome","quarauitica",2
"Cleome","guianensis","Cleome","guineensis",2
"Cleome","guineensis","Cleome","guianensis",2
"Cleome","gynandra","Cleome","monandra",2
"Cleome","heptaphylla","Cleome","pentaphylla",2
"Cleome","hirsuta","Cleome","hirta",2
"Cleome","hirta","Cleome","hirsuta",2
"Cleome","hispida","Cleome","hispidula",2
"Cleome","hispidula","Cleome","hispida",2
"Cleome","horrida","Cleome","sordida",2
"Cleome","hotsonii","Cleome","houstonii",2
"Cleome","houstonii","Cleome","hotsonii",2
"Cleome","jamesii","Cleome","jamesonii",2
"Cleome","jamesii","Cleome","jonesii",2
"Cleome","jamesonii","Cleome","jamesii",2
"Cleome","jonesii","Cleome","jamesii",2
"Cleome","laxa","Cleome","flava",2
"Cleome","linophylla","Cleome","monophylla",2
"Cleome","lutea","Cleome","aurea",2
"Cleome","lutea","Cleome","ruta",2
"Cleome","macrantha","Cleome","micrantha",1
"Cleome","macrocarpa","Cleome","microcarpa",1
"Cleome","maculata","Cleome","aculeata",2
"Cleome","micrantha","Cleome","macrantha",1
"Cleome","microcarpa","Cleome","macrocarpa",1
"Cleome","monandra","Cleome","gynandra",2
"Cleome","monophylla","Cleome","linophylla",2
"Cleome","montevidense","Cleome","montevidensis",2
"Cleome","montevidensis","Cleome","montevidense",2
"Cleome","panamensis","Cleome","canadensis",2
"Cleome","panamensis","Cleome","pinarensis",2
"Cleome","parvipetala","Cleome","parvisepala",2
"Cleome","parvisepala","Cleome","parvipetala",2
"Cleome","paxiana","Cleome","ariana",2
"Cleome","paxiana","Cleome","bahiana",2
"Cleome","pentaphylla","Cleome","heptaphylla",2
"Cleome","pilosa","Cleome","spinosa",2
"Cleome","pilosa","Cleome","villosa",2
"Cleome","pinarensis","Cleome","panamensis",2
"Cleome","pinarensis","Cleome","tunarensis",2
"Cleome","postrata","Cleome","prostrata",1
"Cleome","postrata","Cleome","rostrata",1
"Cleome","prostrata","Cleome","postrata",1
"Cleome","prostrata","Cleome","rostrata",1
"Cleome","pubescens","Cleome","albescens",2
"Cleome","quarauitica","Cleome","guaranitica",2
"Cleome","ramosissima","Cleome","ramosissina",1
"Cleome","ramosissina","Cleome","ramosissima",1
"Cleome","rosea","Cleome","erosa",2
"Cleome","rostrata","Cleome","postrata",1
"Cleome","rostrata","Cleome","prostrata",1
"Cleome","ruta","Cleome","acuta",2
"Cleome","ruta","Cleome","grata",2
"Cleome","ruta","Cleome","lutea",2
"Cleome","semitetandra","Cleome","semitetrandra",1
"Cleome","semitetrandra","Cleome","semitetandra",1
"Cleome","serrata","Cleome","serrulata",2
"Cleome","serrata","Cleome","ternata",2
"Cleome","serrulata","Cleome","serrata",2
"Cleome","sordida","Cleome","horrida",2
"Cleome","spinosa","Cleome","pilosa",2
"Cleome","stenopetala","Cleome","crenopetala",2
"Cleome","steveniana","Cleome","stevensiana",1
"Cleome","stevensiana","Cleome","steveniana",1
"Cleome","tenuifolia","Cleome","densifolia",2
"Cleome","ternata","Cleome","serrata",2
"Cleome","trachycarpa","Cleome","brachycarpa",1
"Cleome","tunarensis","Cleome","pinarensis",2
"Cleome","urens","Cleome","virens",2
"Cleome","vahliana","Cleome","bahiana",2
"Cleome","villosa","Cleome","pilosa",2
"Cleome","villosa","Cleome","viscosa",2
"Cleome","virens","Cleome","urens",2
"Cleome","viscosa","Cleome","villosa",2
