"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Adesmia","adrianae","Adesmia","adrianii",2
"Adesmia","adrianii","Adesmia","adrianae",2
"Adesmia","alcicomutum","Adesmia","alcicornutum",2
"Adesmia","alcicornutum","Adesmia","alcicomutum",2
"Adesmia","aphanantha","Adesmia","aphananthum",2
"Adesmia","aphananthum","Adesmia","aphanantha",2
"Adesmia","araucana","Adesmia","araucanum",2
"Adesmia","araucanum","Adesmia","araucana",2
"Adesmia","augusti","Adesmia","augustii",1
"Adesmia","augustii","Adesmia","augusti",1
"Adesmia","berteroi","Adesmia","herteri",2
"Adesmia","bicolor","Adesmia","bicolora",1
"Adesmia","bicolora","Adesmia","bicolor",1
"Adesmia","bijuga","Adesmia","trijuga",2
"Adesmia","boroniodes","Adesmia","boronioides",1
"Adesmia","boroniodes","Adesmia","boronoides",1
"Adesmia","boronioides","Adesmia","boroniodes",1
"Adesmia","boronioides","Adesmia","boronoides",1
"Adesmia","boronoides","Adesmia","boroniodes",1
"Adesmia","boronoides","Adesmia","boronioides",1
"Adesmia","calycina","Adesmia","calycosa",2
"Adesmia","calycosa","Adesmia","calycina",2
"Adesmia","ciliata","Adesmia","ciliatum",2
"Adesmia","ciliatum","Adesmia","ciliata",2
"Adesmia","colinense","Adesmia","colinensis",2
"Adesmia","colinensis","Adesmia","colinense",2
"Adesmia","concinna","Adesmia","concinnum",2
"Adesmia","concinnum","Adesmia","concinna",2
"Adesmia","curvifolia","Adesmia","parvifolia",2
"Adesmia","dentata","Adesmia","denudata",2
"Adesmia","denudata","Adesmia","dentata",2
"Adesmia","doniana","Adesmia","montana",2
"Adesmia","elata","Adesmia","laeta",2
"Adesmia","elata","Adesmia","laxa",2
"Adesmia","eremophila","Adesmia","eremophilum",2
"Adesmia","eremophilum","Adesmia","eremophila",2
"Adesmia","fernandezi","Adesmia","fernandezii",1
"Adesmia","fernandezii","Adesmia","fernandezi",1
"Adesmia","filifolia","Adesmia","filifolium",2
"Adesmia","filifolia","Adesmia","pinifolia",2
"Adesmia","filifolium","Adesmia","filifolia",2
"Adesmia","frigida","Adesmia","rigida",1
"Adesmia","furcata","Adesmia","muricata",2
"Adesmia","glandulifera","Adesmia","glanduliferum",2
"Adesmia","glandulifera","Adesmia","glanduligera",1
"Adesmia","glanduliferum","Adesmia","glandulifera",2
"Adesmia","glanduligera","Adesmia","glandulifera",1
"Adesmia","glareosa","Adesmia","glareosum",2
"Adesmia","glareosum","Adesmia","glareosa",2
"Adesmia","glomerata","Adesmia","glomerula",2
"Adesmia","glomerula","Adesmia","glomerata",2
"Adesmia","glutinosa","Adesmia","glutinosum",2
"Adesmia","glutinosum","Adesmia","glutinosa",2
"Adesmia","gracile","Adesmia","gracilis",2
"Adesmia","gracilis","Adesmia","gracile",2
"Adesmia","herteri","Adesmia","berteroi",2
"Adesmia","hispidula","Adesmia","hispidulum",2
"Adesmia","hispidulum","Adesmia","hispidula",2
"Adesmia","incana","Adesmia","nana",2
"Adesmia","laeta","Adesmia","elata",2
"Adesmia","laeta","Adesmia","lanata",2
"Adesmia","laeta","Adesmia","laxa",2
"Adesmia","lanata","Adesmia","laeta",2
"Adesmia","laxa","Adesmia","elata",2
"Adesmia","laxa","Adesmia","laeta",2
"Adesmia","laxa","Adesmia","nana",2
"Adesmia","leptopoda","Adesmia","leptopodum",2
"Adesmia","leptopodum","Adesmia","leptopoda",2
"Adesmia","maulina","Adesmia","sulina",2
"Adesmia","meyeniana","Adesmia","meyeriana",1
"Adesmia","meyeraeana","Adesmia","meyeriana",2
"Adesmia","meyeriana","Adesmia","meyeniana",1
"Adesmia","meyeriana","Adesmia","meyeraeana",2
"Adesmia","montana","Adesmia","doniana",2
"Adesmia","muricata","Adesmia","furcata",2
"Adesmia","nana","Adesmia","incana",2
"Adesmia","nana","Adesmia","laxa",2
"Adesmia","obcordata","Adesmia","obcordatum",2
"Adesmia","obcordatum","Adesmia","obcordata",2
"Adesmia","occulta","Adesmia","occultum",2
"Adesmia","occultum","Adesmia","occulta",2
"Adesmia","odontophylla","Adesmia","odontophyllum",2
"Adesmia","odontophyllum","Adesmia","odontophylla",2
"Adesmia","ononidis","Adesmia","onononis",2
"Adesmia","onononis","Adesmia","ononidis",2
"Adesmia","oresigena","Adesmia","oresigenum",2
"Adesmia","oresigenum","Adesmia","oresigena",2
"Adesmia","ovallensis","Adesmia","uvallensis",1
"Adesmia","oxalidiphylla","Adesmia","oxalidophylla",1
"Adesmia","oxalidophylla","Adesmia","oxalidiphylla",1
"Adesmia","parviflora","Adesmia","parvifolia",2
"Adesmia","parviflora","Adesmia","pauciflora",2
