"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Acinodendron","acalephoides","Acinodendron","acalyphoides",1
"Acinodendron","acalyphoides","Acinodendron","acalephoides",1
"Acinodendron","alatum","Acinodendron","atratum",2
"Acinodendron","alatum","Acinodendron","caelatum",2
"Acinodendron","alatum","Acinodendron","elatum",1
"Acinodendron","alatum","Acinodendron","laetum",2
"Acinodendron","alatum","Acinodendron","lanatum",2
"Acinodendron","alatum","Acinodendron","ovatum",2
"Acinodendron","aponeurum","Acinodendron","ioneurum",2
"Acinodendron","atratum","Acinodendron","alatum",2
"Acinodendron","aureum","Acinodendron","durum",2
"Acinodendron","biglomeratum","Acinodendron","glomeratum",2
"Acinodendron","boissieranum","Acinodendron","boissierianum",1
"Acinodendron","boissierianum","Acinodendron","boissieranum",1
"Acinodendron","bourgaeanum","Acinodendron","bourgeanum",1
"Acinodendron","bourgeanum","Acinodendron","bourgaeanum",1
"Acinodendron","bracteatum","Acinodendron","bracteolatum",2
"Acinodendron","bracteolatum","Acinodendron","bracteatum",2
"Acinodendron","buddlejoides","Acinodendron","budlejoides",1
"Acinodendron","budlejoides","Acinodendron","buddlejoides",1
"Acinodendron","buxifolium","Acinodendron","rugifolium",2
"Acinodendron","caelatum","Acinodendron","alatum",2
"Acinodendron","caelatum","Acinodendron","caudatum",2
"Acinodendron","caelatum","Acinodendron","elatum",2
"Acinodendron","caeruleum","Acinodendron","coeruleum",1
"Acinodendron","calophyllum","Acinodendron","caryophyllum",2
"Acinodendron","cardiophyllum","Acinodendron","caryophyllum",2
"Acinodendron","carneum","Acinodendron","cernuum",2
"Acinodendron","caryophyllaeum","Acinodendron","caryophyllum",2
"Acinodendron","caryophyllum","Acinodendron","calophyllum",2
"Acinodendron","caryophyllum","Acinodendron","cardiophyllum",2
"Acinodendron","caryophyllum","Acinodendron","caryophyllaeum",2
"Acinodendron","caryophyllum","Acinodendron","chrysophyllum",2
"Acinodendron","caudatum","Acinodendron","caelatum",2
"Acinodendron","caudatum","Acinodendron","cordatum",2
"Acinodendron","cernuum","Acinodendron","carneum",2
"Acinodendron","chamissoi","Acinodendron","chamissois",1
"Acinodendron","chamissois","Acinodendron","chamissoi",1
"Acinodendron","chrysophylla","Acinodendron","chrysophyllum",2
"Acinodendron","chrysophyllum","Acinodendron","caryophyllum",2
"Acinodendron","chrysophyllum","Acinodendron","chrysophylla",2
"Acinodendron","coeruleum","Acinodendron","caeruleum",1
"Acinodendron","cognauxii","Acinodendron","cogniauxii",1
"Acinodendron","cogniauxii","Acinodendron","cognauxii",1
"Acinodendron","comosum","Acinodendron","formosum",2
"Acinodendron","comosum","Acinodendron","nodosum",2
"Acinodendron","cordatum","Acinodendron","caudatum",2
"Acinodendron","cordatum","Acinodendron","coronatum",2
"Acinodendron","coronatum","Acinodendron","cordatum",2
"Acinodendron","cubense","Acinodendron","rubens",2
"Acinodendron","cuneatum","Acinodendron","undatum",2
"Acinodendron","deliculatum","Acinodendron","denticulatum",2
"Acinodendron","deliculatum","Acinodendron","reticulatum",2
"Acinodendron","denticulatum","Acinodendron","deliculatum",2
"Acinodendron","denticulatum","Acinodendron","reticulatum",2
"Acinodendron","dichroum","Acinodendron","dichrum",1
"Acinodendron","dichrum","Acinodendron","dichroum",1
"Acinodendron","donaeanum","Acinodendron","donianum",2
"Acinodendron","donianum","Acinodendron","donaeanum",2
"Acinodendron","donianum","Acinodendron","dorianum",1
"Acinodendron","dorianum","Acinodendron","donianum",1
"Acinodendron","durum","Acinodendron","aureum",2
"Acinodendron","durum","Acinodendron","rufum",2
"Acinodendron","eichleri","Acinodendron","lechleri",2
"Acinodendron","elaedodendrum","Acinodendron","elaeodendrum",1
"Acinodendron","elaeodendron","Acinodendron","elaeodendrum",2
"Acinodendron","elaeodendrum","Acinodendron","elaedodendrum",1
"Acinodendron","elaeodendrum","Acinodendron","elaeodendron",2
"Acinodendron","elatum","Acinodendron","alatum",1
"Acinodendron","elatum","Acinodendron","caelatum",2
"Acinodendron","elatum","Acinodendron","laetum",2
"Acinodendron","elatum","Acinodendron","ovatum",2
"Acinodendron","ferruginatum","Acinodendron","ferrugineum",2
"Acinodendron","ferrugineum","Acinodendron","ferruginatum",2
"Acinodendron","floridum","Acinodendron","luridum",2
"Acinodendron","foliosum","Acinodendron","formosum",2
"Acinodendron","formosum","Acinodendron","comosum",2
"Acinodendron","formosum","Acinodendron","foliosum",2
"Acinodendron","fragile","Acinodendron","gracile",2
"Acinodendron","fulvum","Acinodendron","gilvum",2
"Acinodendron","gilvum","Acinodendron","fulvum",2
"Acinodendron","glaberrimum","Acinodendron","glaberrinum",1
"Acinodendron","glaberrinum","Acinodendron","glaberrimum",1
"Acinodendron","glandulosum","Acinodendron","granulosum",2
"Acinodendron","glaziouvianum","Acinodendron","glaziovianum",1
"Acinodendron","glaziovianum","Acinodendron","glaziouvianum",1
"Acinodendron","glomeratum","Acinodendron","biglomeratum",2
"Acinodendron","gracile","Acinodendron","fragile",2
"Acinodendron","granulosum","Acinodendron","glandulosum",2
"Acinodendron","haematostemon","Acinodendron","hematostemon",1
"Acinodendron","heliotropioides","Acinodendron","heliotropoides",1
"Acinodendron","heliotropoides","Acinodendron","heliotropioides",1
"Acinodendron","hematostemon","Acinodendron","haematostemon",1
"Acinodendron","hiltellum","Acinodendron","hirtellum",1
"Acinodendron","hirtellum","Acinodendron","hiltellum",1
"Acinodendron","holosericeum","Acinodendron","holosericum",1
"Acinodendron","holosericum","Acinodendron","holosericeum",1
"Acinodendron","ioneurum","Acinodendron","aponeurum",2
"Acinodendron","kraenzlinii","Acinodendron","kranzlinii",1
"Acinodendron","kranzlinii","Acinodendron","kraenzlinii",1
"Acinodendron","lacerum","Acinodendron","laetum",2
"Acinodendron","laetum","Acinodendron","alatum",2
"Acinodendron","laetum","Acinodendron","elatum",2
"Acinodendron","laetum","Acinodendron","lacerum",2
"Acinodendron","laetum","Acinodendron","lanatum",2
"Acinodendron","lamprarhenum","Acinodendron","lamprarrhenum",1
"Acinodendron","lamprarrhenum","Acinodendron","lamprarhenum",1
"Acinodendron","lanatum","Acinodendron","alatum",2
"Acinodendron","lanatum","Acinodendron","laetum",2
"Acinodendron","latifolium","Acinodendron","ledifolium",2
"Acinodendron","laurinum","Acinodendron","luridum",2
"Acinodendron","lechleri","Acinodendron","eichleri",2
"Acinodendron","ledifolium","Acinodendron","latifolium",2
"Acinodendron","lehmannii","Acinodendron","liebmannii",2
"Acinodendron","leucocarpum","Acinodendron","neurocarpum",2
"Acinodendron","liebmannii","Acinodendron","lehmannii",2
"Acinodendron","lividum","Acinodendron","lucidum",2
"Acinodendron","lividum","Acinodendron","luridum",2
"Acinodendron","lividum","Acinodendron","nitidum",2
"Acinodendron","lividum","Acinodendron","rigidum",2
"Acinodendron","longifolium","Acinodendron","oblongifolium",2
"Acinodendron","loxense","Acinodendron","loxensis",2
"Acinodendron","loxensis","Acinodendron","loxense",2
"Acinodendron","lucidum","Acinodendron","lividum",2
"Acinodendron","lucidum","Acinodendron","luridum",1
"Acinodendron","luridum","Acinodendron","floridum",2
"Acinodendron","luridum","Acinodendron","laurinum",2
"Acinodendron","luridum","Acinodendron","lividum",2
"Acinodendron","luridum","Acinodendron","lucidum",1
