"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Mentzelia","albescens","Mentzelia","fllbescens",2
"Mentzelia","albicaule","Mentzelia","albicaulis",2
"Mentzelia","albicaulis","Mentzelia","albicaule",2
"Mentzelia","aspera","Mentzelia","asperula",2
"Mentzelia","asperula","Mentzelia","aspera",2
"Mentzelia","aurea","Mentzelia","aureus",2
"Mentzelia","aurea","Mentzelia","lutea",2
"Mentzelia","aureus","Mentzelia","aurea",2
"Mentzelia","aureus","Mentzelia","urens",2
"Mentzelia","brandegeei","Mentzelia","brandegei",1
"Mentzelia","brandegei","Mentzelia","brandegeei",1
"Mentzelia","chrysantha","Mentzelia","chrysanthus",2
"Mentzelia","chrysanthus","Mentzelia","chrysantha",2
"Mentzelia","citrina","Mentzelia","librina",2
"Mentzelia","congesta","Mentzelia","congestum",2
"Mentzelia","congestum","Mentzelia","congesta",2
"Mentzelia","cordata","Mentzelia","ornata",2
"Mentzelia","crocea","Mentzelia","procera",2
"Mentzelia","decapetala","Mentzelia","decapetalus",2
"Mentzelia","decapetalus","Mentzelia","decapetala",2
"Mentzelia","densa","Mentzelia","densus",2
"Mentzelia","densus","Mentzelia","densa",2
"Mentzelia","diehlii","Mentzelia","tiehmii",2
"Mentzelia","eremohila","Mentzelia","eremophila",1
"Mentzelia","eremophila","Mentzelia","eremohila",1
"Mentzelia","eremophila","Mentzelia","oreophila",2
"Mentzelia","fllbescens","Mentzelia","albescens",2
"Mentzelia","fragilis","Mentzelia","gracilis",2
"Mentzelia","gracile","Mentzelia","gracilis",2
"Mentzelia","gracilis","Mentzelia","fragilis",2
"Mentzelia","gracilis","Mentzelia","gracile",2
"Mentzelia","humilis","Mentzelia","humilus",1
"Mentzelia","humilus","Mentzelia","humilis",1
"Mentzelia","laevicaulis","Mentzelia","loevicaulis",1
"Mentzelia","librina","Mentzelia","citrina",2
"Mentzelia","loevicaulis","Mentzelia","laevicaulis",1
"Mentzelia","lutea","Mentzelia","aurea",2
"Mentzelia","multiflora","Mentzelia","multiflorus",2
"Mentzelia","multiflorus","Mentzelia","multiflora",2
"Mentzelia","nuda","Mentzelia","nudus",2
"Mentzelia","nudus","Mentzelia","nuda",2
"Mentzelia","oreophila","Mentzelia","eremophila",2
"Mentzelia","ornata","Mentzelia","cordata",2
"Mentzelia","parviflora","Mentzelia","parvifolia",2
"Mentzelia","parvifolia","Mentzelia","parviflora",2
"Mentzelia","procera","Mentzelia","crocea",2
"Mentzelia","sericea","Mentzelia","stricta",2
"Mentzelia","speciosa","Mentzelia","speciosus",2
"Mentzelia","speciosus","Mentzelia","speciosa",2
"Mentzelia","stricta","Mentzelia","sericea",2
"Mentzelia","stricta","Mentzelia","strictus",2
"Mentzelia","strictus","Mentzelia","stricta",2
"Mentzelia","thompsoniae","Mentzelia","thompsonii",2
"Mentzelia","thompsonii","Mentzelia","thompsoniae",2
"Mentzelia","tiehmii","Mentzelia","diehlii",2
"Mentzelia","urens","Mentzelia","aureus",2
"Mentzelia","veatchiana","Mentzelia","veitchiana",1
"Mentzelia","veitchiana","Mentzelia","veatchiana",1
