"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Uapaca","angolensis","Uapaca","mangorensis",2
"Uapaca","betamponensis","Uapaca","betemponensis",1
"Uapaca","betemponensis","Uapaca","betamponensis",1
"Uapaca","goossensi","Uapaca","goossensii",1
"Uapaca","goossensii","Uapaca","goossensi",1
"Uapaca","kibuati","Uapaca","kibuatii",1
"Uapaca","kibuatii","Uapaca","kibuati",1
"Uapaca","le-testuana","Uapaca","letestuana",1
"Uapaca","letestuana","Uapaca","le-testuana",1
"Uapaca","mangorensis","Uapaca","angolensis",2
"Uapaca","mangorensis","Uapaca","mangororensis",2
"Uapaca","mangororensis","Uapaca","mangorensis",2
"Uapaca","niangadoumae","Uapaca","niangadoumii",2
"Uapaca","niangadoumii","Uapaca","niangadoumae",2
