"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Prosopis","adstringens","Prosopis","astringens",1
"Prosopis","astringens","Prosopis","adstringens",1
"Prosopis","benthami","Prosopis","benthamii",1
"Prosopis","benthamii","Prosopis","benthami",1
"Prosopis","calden","Prosopis","caldenia",2
"Prosopis","caldenia","Prosopis","calden",2
"Prosopis","campertris","Prosopis","campestris",1
"Prosopis","campestris","Prosopis","campertris",1
"Prosopis","ephedrioides","Prosopis","ephedroides",1
"Prosopis","ephedroides","Prosopis","ephedrioides",1
"Prosopis","tamarugo","Prosopis","tamaruya",2
"Prosopis","tamaruya","Prosopis","tamarugo",2
