"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Liriodendron","liliifera","Liriodendron","liliiferum",2
"Liriodendron","liliiferum","Liriodendron","liliifera",2
"Liriodendron","liliiferum","Liriodendron","liliiflorum",2
"Liriodendron","liliiflorum","Liriodendron","liliiferum",2
"Liriodendron","marcouana","Liriodendron","marcouanum",2
"Liriodendron","marcouana","Liriodendron","marcouanus",2
"Liriodendron","marcouanum","Liriodendron","marcouana",2
"Liriodendron","marcouanum","Liriodendron","marcouanus",1
"Liriodendron","marcouanus","Liriodendron","marcouana",2
"Liriodendron","marcouanus","Liriodendron","marcouanum",1
