"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Laburnum","+","Laburnum","×",1
"Laburnum","alpina","Laburnum","alpinum",2
"Laburnum","alpina","Laburnum","alpinus",2
"Laburnum","alpinum","Laburnum","alpina",2
"Laburnum","alpinum","Laburnum","alpinus",1
"Laburnum","alpinus","Laburnum","alpina",2
"Laburnum","alpinus","Laburnum","alpinum",1
"Laburnum","anagyroides","Laburnum","anagyroidis",1
"Laburnum","anagyroidis","Laburnum","anagyroides",1
"Laburnum","biflorum","Laburnum","triflorum",2
"Laburnum","ianigerum","Laburnum","lanigerum",1
"Laburnum","jacquinianum","Laburnum","jacquinianus",1
"Laburnum","jacquinianum","Laburnum","jaquinianum",1
"Laburnum","jacquinianus","Laburnum","jacquinianum",1
"Laburnum","jacquinianus","Laburnum","jaquinianum",2
"Laburnum","jaquinianum","Laburnum","jacquinianum",1
"Laburnum","jaquinianum","Laburnum","jacquinianus",2
"Laburnum","lanigerum","Laburnum","ianigerum",1
"Laburnum","linneanum","Laburnum","linneanus",1
"Laburnum","linneanus","Laburnum","linneanum",1
"Laburnum","nigricans","Laburnum","nigricanum",2
"Laburnum","nigricanum","Laburnum","nigricans",2
"Laburnum","pendulum","Laburnum","pendulus",1
"Laburnum","pendulus","Laburnum","pendulum",1
"Laburnum","tardiflorum","Laburnum","triflorum",2
"Laburnum","triflorum","Laburnum","biflorum",2
"Laburnum","triflorum","Laburnum","tardiflorum",2
"Laburnum","watereri","Laburnum","xwatereri",1
"Laburnum","xwatereri","Laburnum","watereri",1
"Laburnum","×","Laburnum","+",1
