"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Trigonella","fischerana","Trigonella","fischeriana",1
"Trigonella","fischeriana","Trigonella","fischerana",1
"Trigonella","geminiflora","Trigonella","gemmiflora",2
"Trigonella","geminiflora","Trigonella","greminiflora",1
"Trigonella","gemmiflora","Trigonella","geminiflora",2
"Trigonella","gladiata","Trigonella","radiata",2
"Trigonella","greminiflora","Trigonella","geminiflora",1
"Trigonella","mareschiana","Trigonella","mareschina",1
"Trigonella","mareschina","Trigonella","mareschiana",1
"Trigonella","neoana","Trigonella","noeana",1
"Trigonella","noeana","Trigonella","neoana",1
"Trigonella","polycerata","Trigonella","polyceratia",1
"Trigonella","polyceratia","Trigonella","polycerata",1
"Trigonella","radiata","Trigonella","gladiata",2
"Trigonella","rhytidiocarpa","Trigonella","rhytidocarpa",1
"Trigonella","rhytidocarpa","Trigonella","rhytidiocarpa",1
"Trigonella","schischikinii","Trigonella","schischkinii",1
"Trigonella","schischkinii","Trigonella","schischikinii",1
