"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Rosenbergiodendron","densiflora","Rosenbergiodendron","densiflorum",2
"Rosenbergiodendron","densiflorum","Rosenbergiodendron","densiflora",2
"Rosenbergiodendron","formosa","Rosenbergiodendron","formosum",2
"Rosenbergiodendron","formosum","Rosenbergiodendron","formosa",2
"Rosenbergiodendron","longiflora","Rosenbergiodendron","longiflorum",2
"Rosenbergiodendron","longiflorum","Rosenbergiodendron","longiflora",2
"Rosenbergiodendron","ruizana","Rosenbergiodendron","ruiziana",1
"Rosenbergiodendron","ruiziana","Rosenbergiodendron","ruizana",1
