"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Lobelia","adscendens","Lobelia","ascendens",1
"Lobelia","alanae","Lobelia","alata",2
"Lobelia","alata","Lobelia","alanae",2
"Lobelia","alata","Lobelia","bialata",2
"Lobelia","alata","Lobelia","falcata",2
"Lobelia","alata","Lobelia","flava",2
"Lobelia","alata","Lobelia","laxa",2
"Lobelia","alata","Lobelia","ovata",2
"Lobelia","algoensis","Lobelia","angolensis",2
"Lobelia","algoensis","Lobelia","elgonensis",2
"Lobelia","anatina","Lobelia","andina",2
"Lobelia","andina","Lobelia","anatina",2
"Lobelia","andina","Lobelia","candida",2
"Lobelia","angolensis","Lobelia","algoensis",2
"Lobelia","angulata","Lobelia","lingulata",2
"Lobelia","angulata","Lobelia","undulata",2
"Lobelia","angulato-dentata","Lobelia","angulatodentata",1
"Lobelia","angulatodentata","Lobelia","angulato-dentata",1
"Lobelia","ardisiandroidea","Lobelia","ardisiandroides",1
"Lobelia","ardisiandroides","Lobelia","ardisiandroidea",1
"Lobelia","ascendens","Lobelia","adscendens",1
"Lobelia","ascendens","Lobelia","scandens",2
"Lobelia","ayavacensis","Lobelia","ayavensis",2
"Lobelia","ayavensis","Lobelia","ayavacensis",2
"Lobelia","barkerae","Lobelia","barkeri",2
"Lobelia","barkeri","Lobelia","barkerae",2
"Lobelia","barkeri","Lobelia","walkeri",2
"Lobelia","barnsii","Lobelia","mearnsii",2
"Lobelia","baumannii","Lobelia","neumannii",2
"Lobelia","begonifolia","Lobelia","begoniifolia",1
"Lobelia","begoniifolia","Lobelia","begonifolia",1
"Lobelia","bellidiflora","Lobelia","bellidifolia",2
"Lobelia","bellidifolia","Lobelia","bellidiflora",2
"Lobelia","bellis","Lobelia","bollii",2
"Lobelia","bellis","Lobelia","mollis",2
"Lobelia","benthamii","Lobelia","fenshamii",2
"Lobelia","bergiana","Lobelia","georgiana",2
"Lobelia","beslerioides","Lobelia","mezlerioides",2
"Lobelia","bialata","Lobelia","alata",2
"Lobelia","bialata","Lobelia","trialata",2
