"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Plinia","cauliflora","Plinia","pauciflora",2
"Plinia","fruticosa","Plinia","fruticosum",2
"Plinia","fruticosum","Plinia","fruticosa",2
"Plinia","nana","Plinia","rara",2
"Plinia","parviflora","Plinia","parvifolia",2
"Plinia","parviflora","Plinia","pauciflora",2
"Plinia","parvifolia","Plinia","parviflora",2
"Plinia","parvifolia","Plinia","variifolia",2
"Plinia","pauciflora","Plinia","cauliflora",2
"Plinia","pauciflora","Plinia","parviflora",2
"Plinia","pennata","Plinia","pinnata",1
"Plinia","peruviana","Plinia","peruvianum",2
"Plinia","peruvianum","Plinia","peruviana",2
"Plinia","phitrantha","Plinia","phytrantha",1
"Plinia","phytrantha","Plinia","phitrantha",1
"Plinia","pinnata","Plinia","pennata",1
"Plinia","rara","Plinia","nana",2
"Plinia","rara","Plinia","rubra",2
"Plinia","rubra","Plinia","rara",2
"Plinia","spirito-sanctensis","Plinia","spirito-santensis",1
"Plinia","spirito-sanctensis","Plinia","spiritosantensis",2
"Plinia","spirito-santensis","Plinia","spirito-sanctensis",1
"Plinia","spirito-santensis","Plinia","spiritosantensis",1
"Plinia","spiritosantensis","Plinia","spirito-sanctensis",2
"Plinia","spiritosantensis","Plinia","spirito-santensis",1
"Plinia","variifolia","Plinia","parvifolia",2
