"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Euploca","axillare","Euploca","axillaris",2
"Euploca","axillaris","Euploca","axillare",2
"Euploca","baclei","Euploca","ballii",2
"Euploca","ballii","Euploca","baclei",2
"Euploca","galioides","Euploca","salicoides",2
"Euploca","laxa","Euploca","nana",2
"Euploca","laxa","Euploca","vaga",2
"Euploca","nana","Euploca","laxa",2
"Euploca","nana","Euploca","vaga",2
"Euploca","parciflora","Euploca","pauciflora",1
"Euploca","parciflora","Euploca","rariflora",2
"Euploca","pauciflora","Euploca","parciflora",1
"Euploca","rariflora","Euploca","parciflora",2
"Euploca","salicoides","Euploca","galioides",2
"Euploca","vaga","Euploca","laxa",2
"Euploca","vaga","Euploca","nana",2
